id,product,source,fdc_id,food_desc,comment,group,Edible_CF,Energy_kJ,Energy_kcal,Water_g,Protein_g,Fat_g,Carbohydrate_available_g,Fibre_g,Ash_g,Ca_mg,Fe_mg,Mg_mg,P_mg,K_mg,Na_mg,Zn_mg,Se_mcg,Vit_ARAE_mcg,Vit_ARE_mcg,Retinol_mcg,bcarotene_equivalent_mcg,Thiamin_mg,Riboflavin_mg,Niacin_mg,Dietary_Folate_Eq_mcg,Food_folate_mcg,Vit_B12_mcg,Vit_C_mg,Cholesterol_CHOLE_mg
72,avocado,KE18,5003,"Avocado, ripe, raw",NA,fruits,0.71,761,185,74,1.6,19.6,0,4,1.9,19,1,25,41,281,7,0.39,0,2,5,0,27,0.07,0.15,1.8,67,67,0,14,NA
36,bambara nuts,KE18,10001,"Bambara groundnuts, dried, raw",NA,nuts and seeds,NA,1340,321,9.5,18.1,6,34.6,28.2,3.6,39,3.3,166,190,1330,2,1.81,NA,0,0,0,NA,0.04,0.07,2.3,NA,NA,0,NA,NA
71,banana,KE18,2004,"Banana, plantain, green, raw",NA,"starchy roots, tubers and bananas",0.5,410,97,73.6,1.4,NA,20.1,3.6,0.9,7,0.8,23,29,322,10,0.23,1,0,1,0,3,0.06,0.04,0.33,19,19,0,23.3,NA
18,black pepper,KE18,13026,"Pepper, ground, black, dry, raw",NA,condiments and spices,1,1250,297,11.8,10.3,2.7,44.7,26.3,4.3,463,19.4,253,188,576,25,1.28,3,14,29,0,171,0.09,0.14,0.7,10,10,0,0,NA
6141,bulrush millet flour,KE18,1024,"Millet, bulrush, flour",NA,cereals and cereal products,1,1490,354,11,10.5,5.3,61.8,8.8,2.7,32,32.4,84,263,291,4,4.14,34,0,0,0,0,0.27,0.17,1.5,162,162,0,3,NA
61,cardamom,KE18,13005,"Cardamom, seeds, ground",NA,condiments and spices,1,1350,322,8.3,8.5,6.7,42.4,28,5.5,383,14,215,165,1120,18,7.47,1,0,0,0,0,0.21,0.18,1.1,NA,NA,0,21,NA
89,carrot,KE18,4011,"Carrot, peeled, raw",NA,vegetable and vegetable products,0.83,124,30,90.6,0.7,NA,4.5,3.2,0.6,33,0.6,17,25,251,35,0.14,0,589,1180,0,7070,0.04,0.03,0.22,18,18,0,5.5,NA
46,cashew nut,KE18,10008,"Nut, cashew, dry, raw, unsalted",NA,nuts and seeds,1,2470,595,5.9,16.5,48,21.5,5.8,2.3,33,4.9,244,578,536,11,5.36,32,1,1,0,6,0.65,0.25,1.8,24,24,0,0,NA
6462,cashew nut seed,KE18,10008,"Nut, cashew, dry, raw, unsalted",assume it’s the nut itself,nuts and seeds,1,2470,595,5.9,16.5,48,21.5,5.8,2.3,33,4.9,244,578,536,11,5.36,32,1,1,0,6,0.65,0.25,1.8,24,24,0,0,NA
35,chick peas,KE18,3010,"Chick peas, whole, dry, raw",NA,legumes and pulses,1,1350,323,9.9,22.3,5.1,34.3,25.2,3.1,235,6.8,160,284,1030,25,3.37,41,15,29,0,175,0.48,0.16,2.1,400,400,0,8,NA
1022,chickens meat,KE18,7009,"Chicken, unespecified part, w/o bone, meat&skin, raw",NA,"meat, poultry and eggs",0.65,864,207,63.6,18.7,13,3.8,0,0.9,13,2.5,20,243,152,68,0.89,16,75,75,75,0,0.14,0.12,6.4,11,11,0.63,1.2,99
64,cinnamon,KE18,13008,"Cinnamon, dried, ground",NA,condiments and spices,1,1010,244,13.1,2.8,2.6,26.3,52.3,2.9,1183,8.3,54,21,482,17,2,3,3,7,0,NA,0.02,0.07,1.3,28,28,0,27.9,NA
66,clove,KE18,13009,"Cloves, dry, raw",NA,condiments and spices,1,1040,251,27.6,6,10.4,16,34.5,5.4,536,14.2,253,86,877,183,1.13,8,6,13,0,78,0.08,0.13,1.2,20,20.1,0,0,NA
93,cucumber,KE18,4016,"Cucumber, green, unpeeled, raw",NA,vegetable and vegetable products,0.97,47,11,96.2,0.6,0.1,1.3,1.4,0.5,20,0.7,14,20,136,22,0.18,1,0,1,0,5,0.03,0.02,0.2,7,7,0,7,NA
200,custard apple,KE18,5006,"Custard apple, peeled, raw",NA,fruits,0.72,386,92,75,1.7,NA,17,5.1,0.8,28,0.4,38,22,278,3,0,0,0,0,0,0,0.07,0.13,0.7,37,37,0,22,NA
1122,ducks meat,KE18,7008,"Duck, meat and skin, fresh, raw",NA,"meat, poultry and eggs",1,1050,253,62.2,17.8,21.2,0,0,1.1,5,1.9,15,167,212,82,1.55,20,39,39,39,0,0.35,0.45,3.51,0,0,0.6,0,99
94,eggplant,KE18,4017,"Eggplant / Brinjal, different varieties, whole edible, raw",NA,vegetable and vegetable products,0.91,111,27,90.8,1.2,0.3,2.8,4,0.9,18,0.4,21,35,200,3,0.21,1,12,24,0,146,0.05,0.05,1,29,29,0,2,NA
500,eggs,KE18,7011,"Egg, chicken, whole, raw   ",NA,"meat, poultry and eggs",0.87,558,134,75.9,12.7,NA,2.4,0,0.9,54,1.7,14,180,126,155,1.13,23,186,186,186,0,0.12,0.51,0,83,83,1.7,0,418
37,field peas,KE18,3015,"Garden peas, fresh, raw",NA,legumes and pulses,0.41,392,93,72.5,7.9,0.7,9.8,8,1,28.2,2.63,30.15,108,249,3.66,4.65,2,30,60,0,363,0.29,0.13,2.3,216,216,0,38.4,NA
