category,product_type,type,subtype,item,mfa_group,mfa_group_label,classified
Animal,Animal product,Large ruminants,Processed milk,Processed milk - large ruminants,1,Large ruminants,TRUE
Animal,Animal product,Small ruminants,Processed milk,Processed milk - small ruminants,2,Small ruminants,TRUE
Animal,Animal product,Large ruminants,Bulls,Bulls meat,1,Large ruminants,TRUE
Animal,Animal product,Large ruminants,Bulls,Bulls offal,1,Large ruminants,TRUE
Animal,Animal product,Large ruminants,Calves,Calves meat,1,Large ruminants,TRUE
Animal,Animal product,Large ruminants,Calves,Calves offal,1,Large ruminants,TRUE
Animal,Animal product,Poultry,Chickens,Chickens meat,3,Poultry,TRUE
Animal,Animal product,Poultry,Chickens,Chickens offal,3,Poultry,TRUE
Animal,Animal product,Large ruminants,Cows,Cows meat,1,Large ruminants,TRUE
Animal,Animal product,Large ruminants,Cows,Cows offal,1,Large ruminants,TRUE
Animal,Animal product,Other animals,Dogs,Dogs meat,5,Other animals,TRUE
Animal,Animal product,Other animals,Dogs,Dogs offal,5,Other animals,TRUE
Animal,Animal product,Other animals,Donkeys,Donkeys meat,5,Other animals,TRUE
Animal,Animal product,Other animals,Donkeys,Donkeys offal,5,Other animals,TRUE
Animal,Animal product,Poultry,Ducks,Ducks meat,3,Poultry,TRUE
Animal,Animal product,Poultry,Ducks,Ducks offal,3,Poultry,TRUE
Animal,Animal product,Eggs,Eggs,Eggs,6,Eggs,TRUE
Animal,Animal product,Small ruminants,Goats,Goats meat,2,Small ruminants,TRUE
Animal,Animal product,Small ruminants,Goats,Goats offal,2,Small ruminants,TRUE
Animal,Animal product,Other animals,Hare,Hare meat,5,Other animals,TRUE
Animal,Animal product,Other animals,Hare,Hare offal,5,Other animals,TRUE
Animal,Animal product,Large ruminants,Heifers,Heifers meat,1,Large ruminants,TRUE
Animal,Animal product,Large ruminants,Heifers,Heifers offal,1,Large ruminants,TRUE
Animal,Animal product,Large ruminants,Milk,Milk - large ruminants,1,Large ruminants,TRUE
Animal,Animal product,Small ruminants,Milk,Milk - small ruminants,2,Small ruminants,TRUE
Animal,Animal product,Other animals,Other,Other meat,5,Other animals,TRUE
Animal,Animal product,Other animals,Other,Other offal,5,Other animals,TRUE
Animal,Animal product,Poultry,Other poultry,Other poultry meat,3,Poultry,TRUE
Animal,Animal product,Poultry,Other poultry,Other poultry offal,3,Poultry,TRUE
Animal,Animal product,Pigs,Pigs,Pigs meat,4,Pigs,TRUE
Animal,Animal product,Pigs,Pigs,Pigs offal,4,Pigs,TRUE
Animal,Animal product,Small ruminants,Sheep,Sheep meat,2,Small ruminants,TRUE
Animal,Animal product,Small ruminants,Sheep,Sheep offal,2,Small ruminants,TRUE
Animal,Animal product,Large ruminants,Steers,Steers meat,1,Large ruminants,TRUE
Animal,Animal product,Large ruminants,Steers,Steers offal,1,Large ruminants,TRUE
Animal,Slaughter product,Poultry,Other,Chickens,3,Poultry,TRUE
Plant,Food crops,Pulses,Pulses,Beans,8,Pulses,TRUE
Plant,Food crops,Cereals,Cereals,Maize,7,Cereals,TRUE
Plant,Food crops,Oilcrops,Oilcrops,Sunflower,9,Oilcrops,TRUE
Plant,Processed crop,Cereals,Flour,Maize flour,7,Cereals,TRUE
Plant,Processed crop,Cereals,Seed,Maize seed,7,Cereals,TRUE
Plant,,,,Fiwi,,Unclassified,FALSE
Plant,,,,Pigeon pea,,Unclassified,FALSE
Plant,,,,,,Unclassified,FALSE
Plant,Food crops,Cereals,Cereals,Finger millet,7,Cereals,TRUE
Plant,Processed crop,Cereals,Flour,Finger millet flour,7,Cereals,TRUE
Plant,,,,Plum,,Unclassified,FALSE
Plant,,,,Timber,,Unclassified,FALSE
Plant,Processed crop,Cereals,Bran,Maize bran,7,Cereals,TRUE
Plant,Processed crop,Oilcrops,Oil,Sunflower oil,9,Oilcrops,TRUE
Plant,Processed crop,Oilcrops,Wet husk,Sunflower wet husk,9,Oilcrops,TRUE
Plant,Food crops,Fruits and vegetables,Fruits and vegetables,Avocado,11,Fruits and vegetables,TRUE
Plant,Food crops,Fruits and vegetables,Fruits and vegetables,Banana,11,Fruits and vegetables,TRUE
Plant,Food crops,Fruits and vegetables,Fruits and vegetables,Mango,11,Fruits and vegetables,TRUE
Plant,,,,Orange,,Unclassified,FALSE
Plant,,,,Papaw,,Unclassified,FALSE
Plant,Other crops,Cashcrops,Cashcrops,Sugar cane,12,Cashcrops,TRUE
Plant,,,,Guava,,Unclassified,FALSE
Plant,,,,Mandarin,,Unclassified,FALSE
Plant,,,,Pomegranate,,Unclassified,FALSE
Plant,,,,Custard apple,,Unclassified,FALSE
Plant,Food crops,Cereals,Cereals,Sorghum,7,Cereals,TRUE
Plant,,,,Green gram,,Unclassified,FALSE
Animal,Slaughter product,Small ruminants,Other,Goats,2,Small ruminants,TRUE
Animal,Slaughter product,Small ruminants,Other,Sheep,2,Small ruminants,TRUE
Animal,Other,Small ruminants,Other,Hides-small ruminants,2,Small ruminants,TRUE
Plant,Food crops,Pulses,Pulses,Cowpeas,8,Pulses,TRUE
Plant,Food crops,Oilcrops,Oilcrops,Sesame,9,Oilcrops,TRUE
